Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
Peoples Democratic Republic of Yemen,253.71,0.06,253.61,0.13,0.1,0.0,253.51,474D1193 Index,193D1474 Index,Australia,2015
Jordan,250.44,0.06,219.55,0.11,30.89,0.01,188.66,439D1193 Index,193D1439 Index,Australia,2015
Peru,250.14,0.06,138.3,0.07,111.84,0.05,26.46,293D1193 Index,193D1293 Index,Australia,2015
Nigeria,212.57,0.05,212.07,0.11,0.49,0.0,211.58,694D1193 Index,193D1694 Index,Australia,2015
Kuwait,203.41,0.05,193.96,0.1,9.45,0.0,184.52,443D1193 Index,193D1443 Index,Australia,2015
Bulgaria,197.32,0.05,151.02,0.08,46.31,0.02,104.71,918D1193 Index,193D1918 Index,Australia,2015
Portugal,191.38,0.05,40.24,0.02,151.14,0.07,-110.9,182D1193 Index,193D1182 Index,Australia,2015
Ukraine,181.16,0.04,158.78,0.08,22.37,0.01,136.41,926D1193 Index,193D1926 Index,Australia,2015
Greece,169.79,0.04,9.77,0.0,160.02,0.08,-150.24,174D1193 Index,193D1174 Index,Australia,2015
Cambodia,159.96,0.04,31.27,0.02,128.69,0.06,-97.42,522D1193 Index,193D1522 Index,Australia,2015
Solomon Islands,138.93,0.03,131.66,0.07,7.26,0.0,124.4,813D1193 Index,193D1813 Index,Australia,2015
Mauritius,136.11,0.03,118.83,0.06,17.28,0.01,101.55,684D1193 Index,193D1684 Index,Australia,2015
Romania,134.14,0.03,27.05,0.01,107.09,0.05,-80.04,968D1193 Index,193D1968 Index,Australia,2015
Colombia,109.38,0.03,44.65,0.02,64.73,0.03,-20.08,233D1193 Index,193D1233 Index,Australia,2015
Tanzania,108.82,0.03,103.18,0.05,5.64,0.0,97.53,738D1193 Index,193D1738 Index,Australia,2015
Ghana,106.63,0.03,99.39,0.05,7.24,0.0,92.16,652D1193 Index,193D1652 Index,Australia,2015
Congo,106.36,0.03,3.49,0.0,102.87,0.05,-99.38,634D1193 Index,193D1634 Index,Australia,2015
Slovenia,105.31,0.03,2.18,0.0,103.13,0.05,-100.96,961D1193 Index,193D1961 Index,Australia,2015
Macau,100.09,0.02,84.34,0.04,15.75,0.01,68.59,546D1193 Index,193D1546 Index,Australia,2015
Myanmar,96.78,0.02,57.84,0.03,38.95,0.02,18.89,518D1193 Index,193D1518 Index,Australia,2015
Costa Rica,96.73,0.02,8.23,0.0,88.5,0.04,-80.26,238D1193 Index,193D1238 Index,Australia,2015
Vanuatu,84.18,0.02,82.16,0.04,2.02,0.0,80.14,846D1193 Index,193D1846 Index,Australia,2015
"Congo, Democratic Republic",81.66,0.02,81.43,0.04,0.22,0.0,81.21,636D1193 Index,193D1636 Index,Australia,2015
Kenya,75.41,0.02,41.06,0.02,34.35,0.02,6.7,664D1193 Index,193D1664 Index,Australia,2015
Kazakhstan,69.75,0.02,67.03,0.03,2.71,0.0,64.32,916D1193 Index,193D1916 Index,Australia,2015
Iran,66.39,0.02,40.55,0.02,25.84,0.01,14.71,429D1193 Index,193D1429 Index,Australia,2015
Samoa,63.03,0.02,36.4,0.02,26.62,0.01,9.78,862D1193 Index,193D1862 Index,Australia,2015
Lebanon,58.76,0.01,45.78,0.02,12.98,0.01,32.79,446D1193 Index,193D1446 Index,Australia,2015
Morocco,57.18,0.01,24.6,0.01,32.58,0.02,-7.98,686D1193 Index,193D1686 Index,Australia,2015
Zambia,56.44,0.01,53.68,0.03,2.76,0.0,50.92,754D1193 Index,193D1754 Index,Australia,2015
Estonia,56.44,0.01,8.31,0.0,48.13,0.02,-39.83,939D1193 Index,193D1939 Index,Australia,2015
Mali,54.43,0.01,50.13,0.02,4.31,0.0,45.82,678D1193 Index,193D1678 Index,Australia,2015
Malta,54.09,0.01,35.89,0.02,18.2,0.01,17.7,181D1193 Index,193D1181 Index,Australia,2015
Ethiopia,47.89,0.01,26.7,0.01,21.19,0.01,5.51,644D1193 Index,193D1644 Index,Australia,2015
Honduras,45.39,0.01,3.95,0.0,41.44,0.02,-37.49,268D1193 Index,193D1268 Index,Australia,2015
El Salvador,44.13,0.01,25.16,0.01,18.97,0.01,6.18,253D1193 Index,193D1253 Index,Australia,2015
Cote D Ivoire,43.18,0.01,21.3,0.01,21.88,0.01,-0.59,662D1193 Index,193D1662 Index,Australia,2015
Equatorial Guinea,42.44,0.01,4.61,0.0,37.83,0.02,-33.22,642D1193 Index,193D1642 Index,Australia,2015
Ecuador,42.17,0.01,14.49,0.01,27.67,0.01,-13.18,248D1193 Index,193D1248 Index,Australia,2015
Nepal,41.43,0.01,35.76,0.02,5.67,0.0,30.09,558D1193 Index,193D1558 Index,Australia,2015
Lithuania,40.64,0.01,4.77,0.0,35.87,0.02,-31.09,946D1193 Index,193D1946 Index,Australia,2015
Dominican Republic,39.14,0.01,10.7,0.01,28.43,0.01,-17.73,243D1193 Index,193D1243 Index,Australia,2015
Iceland,34.57,0.01,16.64,0.01,17.93,0.01,-1.29,176D1193 Index,193D1176 Index,Australia,2015
Guatemala,34.55,0.01,11.44,0.01,23.11,0.01,-11.68,258D1193 Index,193D1258 Index,Australia,2015
Mozambique,33.23,0.01,32.16,0.02,1.07,0.0,31.09,688D1193 Index,193D1688 Index,Australia,2015
Maldives,32.71,0.01,32.13,0.02,0.58,0.0,31.54,556D1193 Index,193D1556 Index,Australia,2015
Angola,31.33,0.01,11.72,0.01,19.61,0.01,-7.9,614D1193 Index,193D1614 Index,Australia,2015
Iraq,31.05,0.01,30.98,0.02,0.07,0.0,30.9,433D1193 Index,193D1433 Index,Australia,2015
Tunisia,30.36,0.01,7.1,0.0,23.26,0.01,-16.16,744D1193 Index,193D1744 Index,Australia,2015
Jamaica,26.68,0.01,25.17,0.01,1.51,0.0,23.66,343D1193 Index,193D1343 Index,Australia,2015
Uruguay,25.34,0.01,8.84,0.0,16.51,0.01,-7.67,298D1193 Index,193D1298 Index,Australia,2015
Laos,24.03,0.01,20.97,0.01,3.06,0.0,17.91,544D1193 Index,193D1544 Index,Australia,2015
Tonga,22.83,0.01,21.69,0.01,1.14,0.0,20.55,866D1193 Index,193D1866 Index,Australia,2015
Croatia,22.74,0.01,2.64,0.0,20.1,0.01,-17.46,960D1193 Index,193D1960 Index,Australia,2015
Cyprus,22.06,0.01,4.3,0.0,17.76,0.01,-13.46,423D1193 Index,193D1423 Index,Australia,2015
Bolivia,21.53,0.01,4.24,0.0,17.29,0.01,-13.04,218D1193 Index,193D1218 Index,Australia,2015
Luxembourg,20.97,0.01,1.52,0.0,19.45,0.01,-17.93,137D1193 Index,193D1137 Index,Australia,2015
Nicaragua,19.68,0.0,6.06,0.0,13.61,0.01,-7.55,278D1193 Index,193D1278 Index,Australia,2015
Serbia,19.51,0.0,5.16,0.0,14.34,0.01,-9.18,942D1193 Index,193D1942 Index,Australia,2015
Mongolia,19.09,0.0,11.79,0.01,7.3,0.0,4.49,948D1193 Index,193D1948 Index,Australia,2015
Latvia,18.02,0.0,1.06,0.0,16.96,0.01,-15.9,941D1193 Index,193D1941 Index,Australia,2015
Algeria,17.32,0.0,17.26,0.01,0.06,0.0,17.2,612D1193 Index,193D1612 Index,Australia,2015
Burkina Faso,16.95,0.0,16.91,0.01,0.04,0.0,16.87,748D1193 Index,193D1748 Index,Australia,2015
Madagascar,15.99,0.0,10.33,0.01,5.65,0.0,4.68,674D1193 Index,193D1674 Index,Australia,2015
Panama,13.85,0.0,6.65,0.0,7.2,0.0,-0.55,283D1193 Index,193D1283 Index,Australia,2015
Malawi,13.22,0.0,12.83,0.01,0.39,0.0,12.44,676D1193 Index,193D1676 Index,Australia,2015
Belarus,11.91,0.0,8.94,0.0,2.96,0.0,5.98,913D1193 Index,193D1913 Index,Australia,2015
Togo,11.16,0.0,0.73,0.0,10.43,0.0,-9.69,742D1193 Index,193D1742 Index,Australia,2015
Senegal,10.93,0.0,10.54,0.01,0.39,0.0,10.16,722D1193 Index,193D1722 Index,Australia,2015
Cuba,10.62,0.0,0.67,0.0,9.95,0.0,-9.28,928D1193 Index,193D1928 Index,Australia,2015
Mauritania,9.64,0.0,9.58,0.0,0.06,0.0,9.52,682D1193 Index,193D1682 Index,Australia,2015
Bosnia and Herzegovina,9.3,0.0,1.92,0.0,7.38,0.0,-5.46,963D1193 Index,193D1963 Index,Australia,2015
Azerbaijan,9.18,0.0,9.11,0.0,0.08,0.0,9.03,912D1193 Index,193D1912 Index,Australia,2015
Uganda,9.12,0.0,7.45,0.0,1.66,0.0,5.79,746D1193 Index,193D1746 Index,Australia,2015
Seychelles,8.8,0.0,6.57,0.0,2.23,0.0,4.34,718D1193 Index,193D1718 Index,Australia,2015
Zimbabwe,8.76,0.0,7.96,0.0,0.8,0.0,7.17,698D1193 Index,193D1698 Index,Australia,2015
Venezuela,8.72,0.0,6.77,0.0,1.96,0.0,4.81,299D1193 Index,193D1299 Index,Australia,2015
Macedonia,8.2,0.0,1.72,0.0,6.48,0.0,-4.76,962D1193 Index,193D1962 Index,Australia,2015
Guyana,7.1,0.0,6.82,0.0,0.28,0.0,6.54,336D1193 Index,193D1336 Index,Australia,2015
Rwanda,5.89,0.0,4.5,0.0,1.39,0.0,3.11,714D1193 Index,193D1714 Index,Australia,2015
Paraguay,5.74,0.0,3.93,0.0,1.81,0.0,2.12,288D1193 Index,193D1288 Index,Australia,2015
Barbados,5.58,0.0,4.32,0.0,1.26,0.0,3.06,316D1193 Index,193D1316 Index,Australia,2015
Cameroon,5.38,0.0,4.68,0.0,0.7,0.0,3.99,622D1193 Index,193D1622 Index,Australia,2015
Bahamas,4.9,0.0,0.52,0.0,4.38,0.0,-3.86,313D1193 Index,193D1313 Index,Australia,2015
Armenia,4.29,0.0,4.01,0.0,0.28,0.0,3.74,911D1193 Index,193D1911 Index,Australia,2015
Syria,4.28,0.0,3.05,0.0,1.23,0.0,1.81,463D1193 Index,193D1463 Index,Australia,2015
Libya,4.24,0.0,4.24,0.0,0.0,0.0,4.24,672D1193 Index,193D1672 Index,Australia,2015
Georgia,4.12,0.0,1.26,0.0,2.86,0.0,-1.6,915D1193 Index,193D1915 Index,Australia,2015
Liberia,3.72,0.0,3.7,0.0,0.02,0.0,3.69,668D1193 Index,193D1668 Index,Australia,2015
Kyrgyzstan,2.88,0.0,2.83,0.0,0.05,0.0,2.78,917D1193 Index,193D1917 Index,Australia,2015
Sierra Leone,2.59,0.0,0.7,0.0,1.9,0.0,-1.2,724D1193 Index,193D1724 Index,Australia,2015
Afghanistan,2.37,0.0,1.26,0.0,1.11,0.0,0.15,512D1193 Index,193D1512 Index,Australia,2015
Suriname,2.35,0.0,2.0,0.0,0.36,0.0,1.64,366D1193 Index,193D1366 Index,Australia,2015
Niger,2.34,0.0,1.01,0.0,1.33,0.0,-0.32,692D1193 Index,193D1692 Index,Australia,2015
Bermuda,2.02,0.0,0.36,0.0,1.66,0.0,-1.3,319D1193 Index,193D1319 Index,Australia,2015
Guinea,1.94,0.0,1.73,0.0,0.21,0.0,1.52,656D1193 Index,193D1656 Index,Australia,2015
Haiti,1.93,0.0,0.14,0.0,1.79,0.0,-1.65,263D1193 Index,193D1263 Index,Australia,2015
Moldova,1.92,0.0,0.73,0.0,1.18,0.0,-0.45,921D1193 Index,193D1921 Index,Australia,2015
Uzbekistan,1.86,0.0,0.52,0.0,1.34,0.0,-0.82,927D1193 Index,193D1927 Index,Australia,2015
Albania,1.86,0.0,1.1,0.0,0.75,0.0,0.35,914D1193 Index,193D1914 Index,Australia,2015
Central African Rep.,1.8,0.0,1.65,0.0,0.15,0.0,1.5,626D1193 Index,193D1626 Index,Australia,2015
Belize,1.63,0.0,0.08,0.0,1.55,0.0,-1.47,339D1193 Index,193D1339 Index,Australia,2015
Turkmenistan,1.6,0.0,0.58,0.0,1.02,0.0,-0.43,925D1193 Index,193D1925 Index,Australia,2015
Burundi,1.58,0.0,1.01,0.0,0.57,0.0,0.43,618D1193 Index,193D1618 Index,Australia,2015
Djibouti,0.99,0.0,0.09,0.0,0.9,0.0,-0.81,611D1193 Index,193D1611 Index,Australia,2015
St. Lucia,0.9,0.0,0.89,0.0,0.01,0.0,0.88,362D1193 Index,193D1362 Index,Australia,2015
Benin,0.89,0.0,0.89,0.0,0.0,0.0,0.89,638D1193 Index,193D1638 Index,Australia,2015
Chad,0.87,0.0,0.78,0.0,0.1,0.0,0.68,628D1193 Index,193D1628 Index,Australia,2015
St. Vincent & Grens.,0.87,0.0,0.87,0.0,0.0,0.0,0.87,364I1193 Index,193D1364 Index,Australia,2015
Dominica,0.85,0.0,0.58,0.0,0.27,0.0,0.31,321D1193 Index,193D1321 Index,Australia,2015
Netherlands Antilles,0.84,0.0,0.24,0.0,0.6,0.0,-0.36,353D1193 Index,193D1353 Index,Australia,2015
Montenegro,0.74,0.0,0.28,0.0,0.46,0.0,-0.18,943D1193 Index,193D1943 Index,Australia,2015
Faeroe Islands,0.62,0.0,0.62,0.0,0.0,0.0,0.62,816D1193 Index,193D1816 Index,Australia,2015
Comoros,0.53,0.0,0.46,0.0,0.08,0.0,0.38,632D1193 Index,193D1632 Index,Australia,2015
Aruba,0.33,0.0,0.33,0.0,0.0,0.0,0.33,314D1193 Index,193D1314 Index,Australia,2015
Grenada,0.33,0.0,0.25,0.0,0.07,0.0,0.18,328D1193 Index,193D1328 Index,Australia,2015
Somalia,0.31,0.0,0.29,0.0,0.02,0.0,0.27,726D1193 Index,193D1726 Index,Australia,2015
Greenland,0.26,0.0,0.26,0.0,0.0,0.0,0.26,326D1193 Index,193D1326 Index,Australia,2015
Sao Tome & Principe,0.15,0.0,0.0,0.0,0.15,0.0,-0.15,716D1193 Index,193D1716 Index,Australia,2015
Tajikistan,0.06,0.0,0.05,0.0,0.01,0.0,0.05,923D1193 Index,193D1923 Index,Australia,2015
Gambia,0.02,0.0,0.02,0.0,0.0,0.0,0.02,648D1193 Index,193D1648 Index,Australia,2015
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654D1193 Index,193D1654 Index,Australia,2015
North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954D1193 Index,193D1954 Index,Australia,2015
China,116989.8,28.98,70127.2,34.61,46862.6,23.3,23264.6,924D1193 Index,193D1924 Index,Australia,2016
Japan,45920.1,11.37,30409.5,15.01,15510.6,7.71,14898.9,158D1193 Index,193D1158 Index,Australia,2016
European Union,40418.7,10.01,7293.1,3.6,33125.6,16.47,-25832.5,998D1193 Index,193D1998 Index,Australia,2016
United States,32591.61,8.07,9534.51,4.71,23057.1,11.47,-13522.59,111D1193 Index,193D1111 Index,Australia,2016
South Korea,23693.22,5.87,15133.1,7.47,8560.12,4.26,6572.98,542D1193 Index,193D1542 Index,Australia,2016
Thailand,14945.23,3.7,3432.53,1.69,11512.7,5.72,-8080.17,578D1193 Index,193D1578 Index,Australia,2016
United Kingdom,12849.97,3.18,7222.78,3.56,5627.19,2.8,1595.59,112D1193 Index,193D1112 Index,Australia,2016
Germany,12351.67,3.06,1651.87,0.82,10699.8,5.32,-9047.93,134D1193 Index,193D1134 Index,Australia,2016
India,12185.59,3.02,8742.2,4.31,3443.39,1.71,5298.81,534D1193 Index,193D1534 Index,Australia,2016
Malaysia,11133.78,2.76,3759.4,1.86,7374.38,3.67,-3614.98,548D1193 Index,193D1548 Index,Australia,2016
New Zealand,10563.88,2.62,4595.24,2.27,5968.64,2.97,-1373.4,196D1193 Index,193D1196 Index,Australia,2016
Indonesia,9126.94,2.26,5260.85,2.6,3866.09,1.92,1394.76,536D1193 Index,193D1536 Index,Australia,2016
Singapore,8597.48,2.13,3059.94,1.51,5537.54,2.75,-2477.6,576D1193 Index,193D1576 Index,Australia,2016
Hong Kong,6880.22,1.7,6137.17,3.03,743.05,0.37,5394.12,532D1193 Index,193D1532 Index,Australia,2016
Vietnam,5974.59,1.48,2442.14,1.21,3532.45,1.76,-1090.31,582D1193 Index,193D1582 Index,Australia,2016
Italy,5200.25,1.29,538.57,0.27,4661.68,2.32,-4123.11,136D1193 Index,193D1136 Index,Australia,2016
Papua New Guinea,4537.51,1.12,1740.73,0.86,2796.78,1.39,-1056.05,853D1193 Index,193D1853 Index,Australia,2016
France,4400.76,1.09,831.1,0.41,3569.66,1.78,-2738.56,132D1193 Index,193D1132 Index,Australia,2016
United Arab Emirates,3725.77,0.92,2117.09,1.04,1608.68,0.8,508.41,466D1193 Index,193D1466 Index,Australia,2016
Netherlands,3567.19,0.88,1765.63,0.87,1801.56,0.9,-35.93,138D1193 Index,193D1138 Index,Australia,2016
Switzerland,3409.01,0.84,893.77,0.44,2515.24,1.25,-1621.47,146D1193 Index,193D1146 Index,Australia,2016
Canada,3112.71,0.77,1604.33,0.79,1508.38,0.75,95.95,156D1193 Index,193D1156 Index,Australia,2016
Mexico,2544.7,0.63,558.92,0.28,1985.78,0.99,-1426.86,273D1193 Index,193D1273 Index,Australia,2016
Ireland,2265.59,0.56,119.11,0.06,2146.48,1.07,-2027.37,178D1193 Index,193D1178 Index,Australia,2016
Spain,2169.64,0.54,522.09,0.26,1647.55,0.82,-1125.46,184D1193 Index,193D1184 Index,Australia,2016
Belgium,2062.59,0.51,699.56,0.35,1363.03,0.68,-663.47,124D1193 Index,193D1124 Index,Australia,2016
Sweden,1913.61,0.47,289.82,0.14,1623.79,0.81,-1333.97,144D1193 Index,193D1144 Index,Australia,2016
Saudi Arabia,1714.96,0.42,1371.78,0.68,343.18,0.17,1028.61,456D1193 Index,193D1456 Index,Australia,2016
Philippines,1579.3,0.39,967.34,0.48,611.96,0.3,355.38,566D1193 Index,193D1566 Index,Australia,2016
Brazil,1515.33,0.38,919.39,0.45,595.94,0.3,323.45,223D1193 Index,193D1223 Index,Australia,2016
Turkey,1413.16,0.35,633.66,0.31,779.51,0.39,-145.85,186D1193 Index,193D1186 Index,Australia,2016
Bangladesh,1310.25,0.32,611.29,0.3,698.97,0.35,-87.68,513D1193 Index,193D1513 Index,Australia,2016
Austria,1241.74,0.31,99.98,0.05,1141.76,0.57,-1041.78,122D1193 Index,193D1122 Index,Australia,2016
South Africa,1232.94,0.31,792.73,0.39,440.21,0.22,352.53,199D1193 Index,193D1199 Index,Australia,2016
Denmark,1074.33,0.27,116.52,0.06,957.8,0.48,-841.28,128D1193 Index,193D1128 Index,Australia,2016
Poland,1025.53,0.25,318.11,0.16,707.42,0.35,-389.31,964D1193 Index,193D1964 Index,Australia,2016
Israel,805.46,0.2,178.88,0.09,626.58,0.31,-447.69,436D1193 Index,193D1436 Index,Australia,2016
Qatar,788.99,0.2,522.35,0.26,266.64,0.13,255.72,453D1193 Index,193D1453 Index,Australia,2016
Chile,779.01,0.19,356.54,0.18,422.47,0.21,-65.93,228D1193 Index,193D1228 Index,Australia,2016
Pakistan,696.23,0.17,418.84,0.21,277.39,0.14,141.45,564D1193 Index,193D1564 Index,Australia,2016
Argentina,691.51,0.17,159.68,0.08,531.83,0.26,-372.15,213D1193 Index,193D1213 Index,Australia,2016
Czech Republic,673.68,0.17,76.89,0.04,596.79,0.3,-519.9,935D1193 Index,193D1935 Index,Australia,2016
Finland,667.71,0.17,63.94,0.03,603.76,0.3,-539.82,172D1193 Index,193D1172 Index,Australia,2016
Russia,643.08,0.16,469.5,0.23,173.58,0.09,295.93,922D1193 Index,193D1922 Index,Australia,2016
Bahrain,615.01,0.15,567.83,0.28,47.17,0.02,520.66,419D1193 Index,193D1419 Index,Australia,2016
Gabon,605.95,0.15,116.24,0.06,489.71,0.24,-373.48,646D1193 Index,193D1646 Index,Australia,2016
Fiji,552.91,0.14,402.14,0.2,150.77,0.07,251.37,819D1193 Index,193D1819 Index,Australia,2016
Hungary,493.47,0.12,31.65,0.02,461.82,0.23,-430.17,944D1193 Index,193D1944 Index,Australia,2016
Sudan,437.17,0.11,33.71,0.02,403.46,0.2,-369.75,732D1193 Index,193D1732 Index,Australia,2016
Peru,393.18,0.1,114.2,0.06,278.98,0.14,-164.78,293D1193 Index,193D1293 Index,Australia,2016
Sri Lanka,373.28,0.09,196.55,0.1,176.73,0.09,19.82,524D1193 Index,193D1524 Index,Australia,2016
Egypt,346.52,0.09,319.4,0.16,27.12,0.01,292.28,469D1193 Index,193D1469 Index,Australia,2016
Norway,336.24,0.08,84.41,0.04,251.83,0.13,-167.42,142D1193 Index,193D1142 Index,Australia,2016
Slovakia,291.84,0.07,31.91,0.02,259.93,0.13,-228.02,936D1193 Index,193D1936 Index,Australia,2016
Brunei Darussalam,288.51,0.07,43.28,0.02,245.23,0.12,-201.94,516D1193 Index,193D1516 Index,Australia,2016
Algeria,272.26,0.07,16.49,0.01,255.78,0.13,-239.29,612D1193 Index,193D1612 Index,Australia,2016
Congo,233.3,0.06,1.18,0.0,232.12,0.12,-230.94,634D1193 Index,193D1634 Index,Australia,2016
Romania,231.54,0.06,37.05,0.02,194.49,0.1,-157.43,968D1193 Index,193D1968 Index,Australia,2016
Oman,230.21,0.06,191.75,0.09,38.46,0.02,153.29,449D1193 Index,193D1449 Index,Australia,2016
Kuwait,193.34,0.05,176.49,0.09,16.86,0.01,159.63,443D1193 Index,193D1443 Index,Australia,2016
New Caledonia,185.47,0.05,162.17,0.08,23.3,0.01,138.86,839D1193 Index,193D1839 Index,Australia,2016
Cambodia,182.72,0.05,26.45,0.01,156.27,0.08,-129.82,522D1193 Index,193D1522 Index,Australia,2016
Portugal,180.35,0.04,14.95,0.01,165.4,0.08,-150.45,182D1193 Index,193D1182 Index,Australia,2016
Greece,177.58,0.04,10.28,0.01,167.31,0.08,-157.03,174D1193 Index,193D1174 Index,Australia,2016
Cape Verde,168.41,0.04,0.27,0.0,168.14,0.08,-167.87,624D1193 Index,193D1624 Index,Australia,2016
Jordan,158.82,0.04,134.7,0.07,24.12,0.01,110.58,439D1193 Index,193D1439 Index,Australia,2016
Nigeria,147.03,0.04,146.06,0.07,0.97,0.0,145.1,694D1193 Index,193D1694 Index,Australia,2016
Ukraine,144.77,0.04,109.31,0.05,35.45,0.02,73.86,926D1193 Index,193D1926 Index,Australia,2016
Iceland,131.31,0.03,118.52,0.06,12.79,0.01,105.72,176D1193 Index,193D1176 Index,Australia,2016
Iran,128.65,0.03,60.6,0.03,68.05,0.03,-7.45,429D1193 Index,193D1429 Index,Australia,2016
Myanmar,127.56,0.03,101.78,0.05,25.78,0.01,75.99,518D1193 Index,193D1518 Index,Australia,2016
Peoples Democratic Republic of Yemen,123.09,0.03,123.07,0.06,0.02,0.0,123.05,474D1193 Index,193D1474 Index,Australia,2016
Macau,122.4,0.03,109.04,0.05,13.35,0.01,95.69,546D1193 Index,193D1546 Index,Australia,2016
Mauritius,112.15,0.03,91.15,0.04,21.0,0.01,70.15,684D1193 Index,193D1684 Index,Australia,2016
Slovenia,109.64,0.03,3.5,0.0,106.14,0.05,-102.64,961D1193 Index,193D1961 Index,Australia,2016
Colombia,106.13,0.03,45.48,0.02,60.65,0.03,-15.17,233D1193 Index,193D1233 Index,Australia,2016
"Congo, Democratic Republic",104.49,0.03,104.3,0.05,0.19,0.0,104.11,636D1193 Index,193D1636 Index,Australia,2016
Ghana,99.15,0.02,91.19,0.05,7.97,0.0,83.22,652D1193 Index,193D1652 Index,Australia,2016
Costa Rica,98.96,0.02,8.47,0.0,90.49,0.04,-82.02,238D1193 Index,193D1238 Index,Australia,2016
Equatorial Guinea,98.76,0.02,29.51,0.01,69.25,0.03,-39.73,642D1193 Index,193D1642 Index,Australia,2016
Bulgaria,93.21,0.02,37.33,0.02,55.87,0.03,-18.54,918D1193 Index,193D1918 Index,Australia,2016
Solomon Islands,79.7,0.02,76.05,0.04,3.65,0.0,72.4,813D1193 Index,193D1813 Index,Australia,2016
Morocco,79.67,0.02,27.67,0.01,51.99,0.03,-24.32,686D1193 Index,193D1686 Index,Australia,2016
Mozambique,77.28,0.02,76.39,0.04,0.89,0.0,75.5,688D1193 Index,193D1688 Index,Australia,2016
Estonia,74.39,0.02,16.33,0.01,58.06,0.03,-41.74,939D1193 Index,193D1939 Index,Australia,2016
Vanuatu,73.9,0.02,72.48,0.04,1.42,0.0,71.06,846D1193 Index,193D1846 Index,Australia,2016
Tanzania,68.92,0.02,64.52,0.03,4.4,0.0,60.11,738D1193 Index,193D1738 Index,Australia,2016
Dominican Republic,65.19,0.02,7.7,0.0,57.49,0.03,-49.79,243D1193 Index,193D1243 Index,Australia,2016
Samoa,62.34,0.02,36.13,0.02,26.21,0.01,9.92,862D1193 Index,193D1862 Index,Australia,2016
Lebanon,53.74,0.01,39.87,0.02,13.87,0.01,26.01,446D1193 Index,193D1446 Index,Australia,2016
Kenya,52.74,0.01,28.36,0.01,24.38,0.01,3.99,664D1193 Index,193D1664 Index,Australia,2016
Nepal,52.72,0.01,46.14,0.02,6.58,0.0,39.57,558D1193 Index,193D1558 Index,Australia,2016
Ethiopia,52.38,0.01,33.05,0.02,19.33,0.01,13.71,644D1193 Index,193D1644 Index,Australia,2016
Bosnia and Herzegovina,52.26,0.01,31.13,0.02,21.13,0.01,10.0,963D1193 Index,193D1963 Index,Australia,2016
Cote D Ivoire,48.12,0.01,31.94,0.02,16.19,0.01,15.75,662D1193 Index,193D1662 Index,Australia,2016
Zambia,46.03,0.01,45.56,0.02,0.47,0.0,45.1,754D1193 Index,193D1754 Index,Australia,2016
Lithuania,41.76,0.01,3.0,0.0,38.76,0.02,-35.77,946D1193 Index,193D1946 Index,Australia,2016
Tonga,38.66,0.01,37.05,0.02,1.61,0.0,35.44,866D1193 Index,193D1866 Index,Australia,2016
Mali,38.03,0.01,34.66,0.02,3.37,0.0,31.29,678D1193 Index,193D1678 Index,Australia,2016
Maldives,35.73,0.01,34.51,0.02,1.22,0.0,33.29,556D1193 Index,193D1556 Index,Australia,2016
Ecuador,34.34,0.01,10.5,0.01,23.84,0.01,-13.34,248D1193 Index,193D1248 Index,Australia,2016
Burkina Faso,34.29,0.01,34.28,0.02,0.02,0.0,34.26,748D1193 Index,193D1748 Index,Australia,2016
Tunisia,33.87,0.01,8.62,0.0,25.25,0.01,-16.63,744D1193 Index,193D1744 Index,Australia,2016
Panama,28.04,0.01,23.22,0.01,4.82,0.0,18.4,283D1193 Index,193D1283 Index,Australia,2016
Kazakhstan,27.5,0.01,25.95,0.01,1.55,0.0,24.4,916D1193 Index,193D1916 Index,Australia,2016
Iraq,26.83,0.01,26.76,0.01,0.07,0.0,26.68,433D1193 Index,193D1433 Index,Australia,2016
Laos,26.54,0.01,17.54,0.01,9.01,0.0,8.53,544D1193 Index,193D1544 Index,Australia,2016
Croatia,26.17,0.01,1.58,0.0,24.59,0.01,-23.02,960D1193 Index,193D1960 Index,Australia,2016
Uruguay,26.0,0.01,8.59,0.0,17.42,0.01,-8.83,298D1193 Index,193D1298 Index,Australia,2016
El Salvador,25.34,0.01,16.87,0.01,8.47,0.0,8.4,253D1193 Index,193D1253 Index,Australia,2016
Cyprus,25.06,0.01,3.13,0.0,21.93,0.01,-18.8,423D1193 Index,193D1423 Index,Australia,2016
Serbia,24.14,0.01,5.57,0.0,18.57,0.01,-13.0,942D1193 Index,193D1942 Index,Australia,2016
Mongolia,23.27,0.01,21.95,0.01,1.32,0.0,20.63,948D1193 Index,193D1948 Index,Australia,2016
Honduras,23.02,0.01,2.17,0.0,20.85,0.01,-18.68,268D1193 Index,193D1268 Index,Australia,2016
Nicaragua,22.97,0.01,5.89,0.0,17.08,0.01,-11.2,278D1193 Index,193D1278 Index,Australia,2016
Malta,22.14,0.01,3.61,0.0,18.53,0.01,-14.92,181D1193 Index,193D1181 Index,Australia,2016
Luxembourg,21.62,0.01,4.38,0.0,17.24,0.01,-12.87,137D1193 Index,193D1137 Index,Australia,2016
